Column_Name,Data_Type,Description,,,,,,,
Age,Integer,Age of the individual in years,,,,,,,
MCV_fL,Float,Mean Corpuscular Volume in femtoliters (red blood cell size),,,,,,,
Gender,String,Gender of the individual (Male/Female/Other),,,,,,,
Transferrin_Saturation_pct,Float,Percentage of transferrin saturation (iron transport protein),,,,,,,
BMI,Float,Body Mass Index (kg/m²),,,,,,,
Serum_VitD_ngmL,Float,Serum Vitamin D concentration (ng/mL),,,,,,,
Geographic_Region,String,Region type (Polar/Cold, Tropical, Temperate, Subtropical),,,,
Serum_B12_pgmL,Float,Serum Vitamin B12 concentration (pg/mL),,,,,,,
Pregnancy_Status,String,Whether the individual is pregnant (Yes/No/N/A),,,,,,,
Serum_Folate_ngmL,Float,Serum Folate concentration (ng/mL),,,,,,,
Diet_Type,String,Dietary preference (Omnivore, Vegetarian, Vegan, Pescatarian),,,,
Serum_Calcium_mgdL,Float,Serum Calcium concentration (mg/dL),,,,,,,
Smoking_Status,String,Smoking habit (Never, Former, Current),,,,,
Serum_Magnesium_mgdL,Float,Serum Magnesium concentration (mg/dL),,,,,,,
Alcohol_Consumption,String,Alcohol intake (None, Occasional, Moderate, Heavy),,,,
Serum_Zinc_ugdL,Float,Serum Zinc concentration (µg/dL),,,,,,,
Sun_Exposure,String,Level of sun exposure (Low, Moderate, High),,,,,
Fatigue,String,Presence of fatigue (Yes/No),,,,,,,
Physical_Activity_Level,String,Activity level (Sedentary, Light, Moderate, Active),,,,
Pallor,String,Presence of pallor (Yes/No),,,,,,,
Stress_Level,String,Stress level (Low, Moderate, High),,,,,
Shortness_of_Breath,String,Presence of shortness of breath (Yes/No),,,,,,,
Chronic_Condition,String,Chronic condition present (Diabetes, CKD, Hypertension, etc.),,,,
Cold_Intolerance,String,Presence of cold intolerance (Yes/No),,,,,,,
Medication_Use,String,Medication type (Steroids, Antacids/PPIs, Diuretics, etc.),,,,
Bone_Pain,String,Presence of bone pain (Yes/No),,,,,,,
Recent_Blood_Loss,String,Recent blood loss (Yes/No),,,,,,,
Muscle_Weakness,String,Presence of muscle weakness (Yes/No),,,,,,,
Family_History_of_Deficiency,String,Family history of deficiency (Yes/No),,,,,,,
Frequent_Illness,String,Frequent illness occurrence (Yes/No),,,,,,,
Digestive_Issues,String,Presence of digestive issues (Yes/No),,,,,,,
Hair_Loss,String,Presence of hair loss (Yes/No),,,,,,,
Iron_Intake_mg,Float,Dietary iron intake (mg/day),,,,,,,
Tingling_Numbness,String,Presence of tingling/numbness (Yes/No),,,,,,,
VitaminD_Intake_IU,Float,Dietary Vitamin D intake (IU/day),,,,,,,
Memory_Cognitive_Issues,String,Presence of memory/cognitive issues (Yes/No),,,,,,,
B12_Intake_mcg,Float,Dietary Vitamin B12 intake (µg/day),,,,,,,
Balance_Problems,String,Presence of balance problems (Yes/No),,,,,,,
Calcium_Intake_mg,Float,Dietary calcium intake (mg/day),,,,,,,
Mood_Swings,String,Presence of mood swings (Yes/No),,,,,,,
Magnesium_Intake_mg,Float,Dietary magnesium intake (mg/day),,,,,,,
Muscle_Cramps,String,Presence of muscle cramps (Yes/No),,,,,,,
Zinc_Intake_mg,Float,Dietary zinc intake (mg/day),,,,,,,
Dental_Issues,String,Presence of dental issues (Yes/No),,,,,,,
Folate_Intake_mcg,Float,Dietary folate intake (µg/day),,,,,,,
Brittle_Nails,String,Presence of brittle nails (Yes/No),,,,,,,
Serum_Iron_ugdL,Float,Serum Iron concentration (µg/dL),,,,,,,
Anxiety_and_Poor_Sleep,String,Presence of anxiety/poor sleep (Yes/No),,,,,,,
Serum_Ferritin_ngmL,Float,Serum Ferritin concentration (ng/mL),,,,,,,
Frequent_Headaches,String,Presence of frequent headaches (Yes/No),,,,,,,
Hemoglobin_gdL,Float,Hemoglobin concentration (g/dL),,,,,,,
Loss_of_Appetite,String,Presence of appetite loss (Yes/No),,,,,,,
Slow_Wound_Healing,String,Presence of slow wound healing (Yes/No),,,,,,,
Loss_of_Taste_Smell,String,Presence of taste/smell loss (Yes/No),,,,,,,
Mouth_Sores,String,Presence of mouth sores (Yes/No),,,,,,,
Tongue_Swelling,String,Presence of tongue swelling (Yes/No),,,,,,,
Restless_Legs,String,Presence of restless legs (Yes/No),,,,,,,
Night_Sweats,String,Presence of night sweats (Yes/No),,,,,,,
Energy_Level,String,Energy level (Low, Medium, High),,,,,
Sleep_Quality,String,Sleep quality (Poor, Average, Good),,,,,
Deficiency,String,Type of deficiency diagnosed (Iron, Vitamin D, Calcium, Magnesium, Folate, Vitamin B12, Zinc, None)
